สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา,ภาพสถานที่,หมวดหมู่
วัดจันทรังษี,วัดแห่งนี้มีพระพุทธรูปที่มีพุทธคุณเด่นในเรื่องของการรักษาโรคภัยไข้เจ็บถึง 2 องค์ องค์แรกคือรูปหล่อของ “หลวงพ่อสด” โดยเชื่อว่า หลวงพ่อสด สามารถประทานพรในเรื่องสุขภาพให้เป็นจริงดังที่หวังได้ และองค์ที่สองคือ “หลวงพ่อโยก” พระพุทธรูปปางสมาธิ อายุราว 300 ปี ประดิษฐานอยู่ภายในโบสถ์ หากได้กราบไหว้ท่านแล้ว จะไร้ทุกข์ไร้โศก โรคภัยไข้เจ็บที่เป็นอยู่ก็จะเบาบางลง,เลขที่ 7 หมู่ 9 ต.หัวไผ่ อ.เมืองฯ จ.อ่างทอง,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,-,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1hpYeZHtTzWlx9xapF_DRGexe3TrBQTsq/view?usp=sharing,สุขภาพ
โรงพยาบาลสงฆ์,พ่อปู่ชีวกโกมารภัจจ์ หรือ หมอชีวกโกมารภัจจ์ มีความเชี่ยวชาญในการรักษาโรคภัยไข้เจ็บให้หายเป็นปกติ ในสมัยพุทธกาลท่านเป็นหมอประจำพระองค์ของพระพุทธเจ้า,ณ อาศรมแพทย์ใหญ่บรมครูหมอชีวกโกมารภัจจ์ โรงพยาบาลสงฆ์ เขตราชเทวี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,-,วิธีไหว้ : เตรียมธูป 9 ดอก ท่องนะโมฯ 3 จบ ตามด้วย “โอม นะโม ชีวะโก สิระสา อะหัง กะรุณิโก สัพพะสัตตานัง โอสะถะ ทิพพะมันตัง ปะภาโส สุริยาจันทัง โกมาระภัจโจ ปะกาเสสิ วันทามิ ปัณฑิโต สุเมธะโส อะโรคา สุมะนา โหมิ”,https://drive.google.com/file/d/1r4wVSwaK2NOw-CmFXUGsh6d3UkGHxPvo/view?usp=sharing,สุขภาพ
ศาลเจ้าแม่กวนอิม,เจ้าแม่กวนอิมเป็นที่รู้จักเป็นอย่างดีสำหรับคนไทยมีชื่อเสียงเรื่องการขออะไรก็สมหวังเนื่องจากพระองค์เป็นพระโพธิสัตว์ที่มีจิตใจเมตตา,มูลนิธิเทียนฟ้า ถ.เยาวราช กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,-,"วิธีไหว้ : บูชาพร้อม ธูป 9 ดอก น้ำสะอาดใส่ภาชนะใหม่ ดอกมะลิหรือดอกบัวสีขาวหรือชมพู ท่องนะโมฯ 3 จบ ตามด้วย “นำโมไต๋ชื้อ ไต๋ปุย กิวโคว่ กิวหลั่ง กวงไต๋เล่งก้ำ กวงสี่อิมผู่สัก (ท่อง 3 จบ กราบ 3 ครั้ง)
นำโมฮุก นำโมหวบ นำโมเจ็ง นำโมกิวโคว่ กิวหลั่ง กวงสี่อิมผู่สัก ทั่งจี้โต
โอม เกียล้อฮวดโต เกียล้อฮวดโต เกียออฮวดโต ล้อเกียฮวดโต ล้อเกียฮวดโต
ซาผ่อออ เทียงล้อซิ้ง ตี่ล้อซิ้ง นั้งลี่หลั่ง หลั่งลี่ซิ้ง เจ็กเฉียก ใจเอียงห่วยอุ่ยติ้ง
นำโมม่อออปวกเยี่ยปอล้อบิ๊ก”",https://drive.google.com/file/d/1VYM4c5rLOu3FTDs9iNuJaufz7OCxnDPR/view?usp=sharing,สุขภาพ
ศาลเจ้าโจวซือกง,ศาลเจ้าโจวซือกง (วัดซุนเฮงยี่) เป็นศาลเจ้าเก่าแก่สร้างขึ้นประมาณ พ.ศ. 2347 โจวซือกงคือหมอยาองค์สำคัญที่ชาวจีนฮกเกี้ยนเคารพ ปัจจุบันผู้ที่เจ็บไข้ได้ป่วยต้องการหายจากโรคนิยมมาขอพรที่ศาลเจ้าแห่งนี้,ย่านตลาดน้อย ซ.วานิช 2 ถ.เจริญกรุง เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-16.00 น.,-,วิธีไหว้ : เตรียมธูป เทียน และชุดของไหว้ (มีให้บริการที่ศาลเจ้า) กราบไหว้ขอพรทีละจุด เนื่องจากศาลเจ้าประดิษฐานเทพเจ้าหลายพระองค์,https://drive.google.com/file/d/127S4XC03zos8YmumZ6l7DAzr-xr6b0yh/view?usp=sharing,สุขภาพ
ท้าวหิรัญพนาสูร,ท้าวหิรัญพนาสูร ขึ้นชื่อว่าบูชาแล้วจะแคล้วคลาดปลอดภัยจากอันตรายและโรคภัยไข้เจ็บต่าง ๆ เป็นอีกที่ที่สายมูมักจะไหว้พระขอพรเรื่องสุขภาพ,บริเวณด้านหลังโรงพยาบาลพระมงกุฎเกล้า เขตราชเทวี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,-,วิธีไหว้ : เตรียม ธูป 16 ดอก บายศรี มะพร้าวอ่อน 2 ลูก กล้วยน้ำว้า 1 หวี สับปะรด และพวงมาลัยดาวเรือง 9 พวง ท่องนะโมฯ 3 จบ ตามด้วย “ระหินะ ภูมาสี ภะสะติ นิรันตะรัง ลาภะสุขัง ภะวันตุเม” ( 9 จบ),https://drive.google.com/file/d/1WY3OrVThKA8ww2beUfmW9qc2iVd2vNwx/view?usp=sharing,สุขภาพ
ศาลเจ้าเล่าปูนเถ้ากง,ปูนเถ้ากง หรือ ตี่เถ่าเล่าเอี๊ย เป็นเทพที่คอยคุ้มครองให้อยู่เย็นเป็นสุขที่คนจีนแต้จิ๋วให้ความเคารพใช้เป็นเครื่องยึดเหนี่ยวจิตใจ เน้นขอพรเรื่องสุขภาพ,หน้าโรงเรียนเผยอิง เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00 – 17.00 น.,-,"วิธีไหว้ : เริ่มจากไหว้ที่จุดแรก “ทีกง” จากนั้นเข้าไปไหว้เทพเจ้า ในห้องโถงโดยไหว้ให้ครบทั้ง 3 แท่นบูชา
ของไหว้ : ธูป เทียน และชุดไหว้ มีให้บริการที่หน้าศาลเจ้า",https://drive.google.com/file/d/1oGQfA4IdCoztHkzi90Y7FOA_zzxuv6UN/view?usp=sharing,สุขภาพ
วัดเจดีย์,ชื่อเสียงอันโด่งดังของ ไอ้ไข่แห่งวัดเจดีย์ ยังคงขจรขจายไปไกล ไอ้ไข่หรือตาไข่ แห่งวัดเจดีย์ คือรูปไม้แกะสลักของเด็กชายอายุประมาณ 10 ขวบ ตั้งอยู่ในศาลาวัดเจดีย์ ที่เชื่อกันว่ามีวิญญาณอันศักดิ์สิทธิ์สถิตย์อยู่ ผู้ศรัทธาจึงพากันมาสักกระขอพรไม่ขาดสาย โดยเพาะในเรื่องของเสริมดวง มักมาบนบานและขอพร เมื่อได้เสริมดวงสมใจก็จะมาแก้บน,วัดเจดีย์ เลขที่ 36/1 ตำบลฉลอง อำเภอสิชล จังหวัดนครศรีธรรมราช,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,-,วิธีการขอพร คือให้จุดธูป 3 ดอก บูชาบนได้ ไหวัรับ สวดคาถาบูชาไอ้ไข่ วัดเจดีย์ เมื่อได้เสริมดวงสมหวัง ส่วนวิธีแก้บนคือถวายขนมเปี๊ยะ น้ำแดง ชุดทหาร ชุดตำรวจ ของเล่น หรือจุดประทัด,https://drive.google.com/file/d/1QF6PJGuPVWTtLsj0TsKq3dq75DePts-P/view?usp=sharing,เสริมดวง
วัดเจดีย์,ชื่อเสียงอันโด่งดังของ ไอ้ไข่แห่งวัดเจดีย์ ยังคงขจรขจายไปไกล ไอ้ไข่หรือตาไข่ แห่งวัดเจดีย์ คือรูปไม้แกะสลักของเด็กชายอายุประมาณ 10 ขวบ ตั้งอยู่ในศาลาวัดเจดีย์ ที่เชื่อกันว่ามีวิญญาณอันศักดิ์สิทธิ์สถิตย์อยู่ ผู้ศรัทธาจึงพากันมาสักกระขอพรไม่ขาดสาย โดยเพาะในเรื่องของเสริมดวง มักมาบนบานและขอพร เมื่อได้เสริมดวงสมใจก็จะมาแก้บน,วัดเจดีย์ เลขที่ 36/1 ตำบลฉลอง อำเภอสิชล จังหวัดนครศรีธรรมราช,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,-,วิธีการขอพร คือให้จุดธูป 3 ดอก บูชาบนได้ ไหวัรับ สวดคาถาบูชาไอ้ไข่ วัดเจดีย์ เมื่อได้เสริมดวงสมหวัง ส่วนวิธีแก้บนคือถวายขนมเปี๊ยะ น้ำแดง ชุดทหาร ชุดตำรวจ ของเล่น หรือจุดประทัด,https://drive.google.com/file/d/1QF6PJGuPVWTtLsj0TsKq3dq75DePts-P/view?usp=sharing,การงาน
ศาลพ่อปู่เจ้ายี่กอฮง,ผู้คนจึงนิยมไปไหว้ขอพรท่านในเรื่องของการเงิน การเสี่ยงโชค เพราะเจ้าพ่อยี่กอฮง เป็นผู้มีโชคดีมีโชคทางการเสี่ยงโชค การพนัน ทุกชนิด,,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00 – 17.00 น.,-, ถวายกาแฟ ชา หมากพลู จากนั้นจุดธูป เทียน นำธูป 5 ดอกไหว้ฟ้าดิน ขานชื่อขอฟ้าดิน เปิดทางให้มีเสริมดวง การเงิน การงาน แล้ว นำธูปอีก 9 ดอกมาไหว้ยี่กอฮง กล่าวคำบูชา ขานชื่อนามสกุล ขอพร แล้วนำธูปอีก 2 ดอกปักในกระถางหน้าประตูฝั่งละ 1 ดอก ซ้ายและขวา แล้วเติมน้ำมันตะเกียงฝั่งละครึ่งขวด แล้วแกะหมากพลู พร้อมกับจุดบุหรี่ ก่อนที่จะวางบุหรี่ที่แท่นวาง บอกกล่าวว่า ยี่กอฮง ว่า ลูกนำบุหรี่มาถวาย และตีระฆัง 3 ครั้ง ตีกลอง 3 ครั้ง,https://drive.google.com/file/d/1jvEktKTk1I0VWmUT4okVHy5dJVU4mObq/view?usp=sharing,เสริมดวง
ศาลพระพิฆเนศ,ใครอยากประสบความสำเร็จเรื่องไหน ให้มาขอพรที่นี่  เชื่อกันว่าพระพิฆเนศเป็นเทพเจ้าแห่งความรู้ สติปัญญา และศิลปะ จะช่วยขจัดอุปสรรค และแก้ไขปัญหาด้วยปัญญาที่ชาญฉลาด ถือเป็นอีกหนึ่งเทพเจ้าที่คนศรัทธา นิยมกราบไหว้นับถือเป็นอย่างมาก,สี่แยกห้วยขวาง ถนนรัชดาภิเษก เขตห้วยขวาง กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,นิยมไหว้พระพิฆเนศวร์ วันอังคาร และวันพฤหัส,"ธูป 5 ดอก,  เทียน 1 เล่ม, พวงมาลัยดอกไม้, ผลไม้,  ขนมหวาน, นม  หรือน้ำหวาน ห้ามถวายเนื้อสัตว์และของคาวเป็นอันขาด ไหว้ครั้งแรกควรเป็นวันอังคารหรือพฤหัสบดี",https://drive.google.com/file/d/1os6vIR87_-FhLezuNtWANn9xZARYxC-g/view?usp=sharing,เสริมดวง
ศาลพระพิฆเนศ,ใครอยากประสบความสำเร็จเรื่องไหน ให้มาขอพรที่นี่  เชื่อกันว่าพระพิฆเนศเป็นเทพเจ้าแห่งความรู้ สติปัญญา และศิลปะ จะช่วยขจัดอุปสรรค และแก้ไขปัญหาด้วยปัญญาที่ชาญฉลาด ถือเป็นอีกหนึ่งเทพเจ้าที่คนศรัทธา นิยมกราบไหว้นับถือเป็นอย่างมาก,สี่แยกห้วยขวาง ถนนรัชดาภิเษก เขตห้วยขวาง กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,นิยมไหว้พระพิฆเนศวร์ วันอังคาร และวันพฤหัส,"ธูป 5 ดอก,  เทียน 1 เล่ม, พวงมาลัยดอกไม้, ผลไม้,  ขนมหวาน, นม  หรือน้ำหวาน ห้ามถวายเนื้อสัตว์และของคาวเป็นอันขาด ไหว้ครั้งแรกควรเป็นวันอังคารหรือพฤหัสบดี",https://drive.google.com/file/d/1os6vIR87_-FhLezuNtWANn9xZARYxC-g/view?usp=sharing,การงาน
ศาลเจ้าพ่อเสือ,ขอพร อธิษฐานในเรื่องของการงาน การเงิน และเสริมดวงต่างๆ รวมทั้งแก้ปีชง ปัดเป่าสิ่งชั่วร้าย,468 ถนนตะนาว เขตพระนคร กรุงเทพฯ (ใกล้เสาชิงช้า),"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 – 17.00 น.,-,เทียนแดง 1 คู่ ธูป 18 ดอก ปัก 6 กระถาง และพวงมาลัย 1 พวง กระดาษไหว้ หมูสามชั้น ไข่ และข้าวเหนียวหวาน,https://drive.google.com/file/d/1e-ApHhOWMju8lHI9euQ_2kHznWGfVHnV/view?usp=sharing,เสริมดวง
ศาลเจ้าพ่อเสือ,ขอพร อธิษฐานในเรื่องของการงาน การเงิน และเสริมดวงต่างๆ รวมทั้งแก้ปีชง ปัดเป่าสิ่งชั่วร้าย,468 ถนนตะนาว เขตพระนคร กรุงเทพฯ (ใกล้เสาชิงช้า),"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 – 17.00 น.,-,เทียนแดง 1 คู่ ธูป 18 ดอก ปัก 6 กระถาง และพวงมาลัย 1 พวง กระดาษไหว้ หมูสามชั้น ไข่ และข้าวเหนียวหวาน,https://drive.google.com/file/d/1e-ApHhOWMju8lHI9euQ_2kHznWGfVHnV/view?usp=sharing,การงาน
ศาลพระตรีมูรติ,ศาลพระตรีมูรติ นอกจากเรื่องความรักแล้ว เรื่องหน้าที่การงาน  การเงิน ชีวิตครอบครัว เงินทองหรือสุขภาพ ท่านก็ช่วยบันดาลให้สมหวังได้,,"จ,อ,พ,พฤ,ศ,ส,อา ",10.00-21.00 น.,ส่วนใหญ่นิยมไหว้ในวันพฤหัสบดี ช่วงเช้า เวลา 09.30 น. หรือช่วงกลางคืน เวลา 21.30 น.,"ธูปแดง 9 ดอก ,เทียนแดง 1 คู่, น้ำแดง 1 ขวด ,ดอกกุหลาบแดง 9 ดอก, ผลไม้ 9 อย่าง สีแดง สีชมพู",https://drive.google.com/file/d/1cSCvRbXmBIMDy-aNo1h1Ht1cIz8SjLi0/view?usp=sharing,เสริมดวง
ศาลพระตรีมูรติ,ศาลพระตรีมูรติ นอกจากเรื่องความรักแล้ว เรื่องหน้าที่การงาน  การเงิน ชีวิตครอบครัว เงินทองหรือสุขภาพ ท่านก็ช่วยบันดาลให้สมหวังได้,,"จ,อ,พ,พฤ,ศ,ส,อา ",10.00-21.00 น.,ส่วนใหญ่นิยมไหว้ในวันพฤหัสบดี ช่วงเช้า เวลา 09.30 น. หรือช่วงกลางคืน เวลา 21.30 น.,"ธูปแดง 9 ดอก ,เทียนแดง 1 คู่, น้ำแดง 1 ขวด ,ดอกกุหลาบแดง 9 ดอก, ผลไม้ 9 อย่าง สีแดง สีชมพู",https://drive.google.com/file/d/1cSCvRbXmBIMDy-aNo1h1Ht1cIz8SjLi0/view?usp=sharing,การงาน
สมเด็จพระปิยมหาราช พระบรมรูปทรงม้า,ชาวไทยนิยมไปกราบไหว้บูชาสักการะขอพรมากที่สุดในเรื่องของการงาน ให้มีหน้าที่การงานอันมั่นคง ให้มีเสริมดวงในการประกอบอาชีพ,ลานพระบรมรูปทรงม้า ถนนอู่ทองใน แขวงดุสิต เขตดุสิต กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ", 05.00-00.00 น.,นิยมไหว้ในวันอังคารเวลา 4 ทุ่มดีที่สุดสำหรับการไหว้ และทุกวันพฤหัสบดีซึ่งถือว่าเป็นวันครู,"จุดธูป 16 ดอก(ครั้งแรกจุดธูป 16 ดอก ครั้งต่อไป 9 ดอก), ดอกกุหลาบสีชมพู, น้ำมะพร้าวอ่อน, กล้วยน้ำว้า, ทองหยิบ, ทองหยอด, บรั่นดี, ซิการ์, ข้าวคลุกกะปิ",https://drive.google.com/file/d/1bfKv_5irFdKn66u3VCsJpLMnE1LrHlNt/view?usp=sharing,เสริมดวง
สมเด็จพระปิยมหาราช พระบรมรูปทรงม้า,ชาวไทยนิยมไปกราบไหว้บูชาสักการะขอพรมากที่สุดในเรื่องของการงาน ให้มีหน้าที่การงานอันมั่นคง ให้มีเสริมดวงในการประกอบอาชีพ,ลานพระบรมรูปทรงม้า ถนนอู่ทองใน แขวงดุสิต เขตดุสิต กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ", 05.00-00.00 น.,นิยมไหว้ในวันอังคารเวลา 4 ทุ่มดีที่สุดสำหรับการไหว้ และทุกวันพฤหัสบดีซึ่งถือว่าเป็นวันครู,"จุดธูป 16 ดอก(ครั้งแรกจุดธูป 16 ดอก ครั้งต่อไป 9 ดอก), ดอกกุหลาบสีชมพู, น้ำมะพร้าวอ่อน, กล้วยน้ำว้า, ทองหยิบ, ทองหยอด, บรั่นดี, ซิการ์, ข้าวคลุกกะปิ",https://drive.google.com/file/d/1bfKv_5irFdKn66u3VCsJpLMnE1LrHlNt/view?usp=sharing,การงาน
ศาลหลักเมือง ,การไหว้ศาลเจ้าพ่อหลักเมืองนั้น ก็เพื่ออธิษฐานขอพระเสริมหลักชัยให้ชีวิต เสริมสิริมงคลกับชีวิต ช่วยให้มีหน้าที่การงานที่มั่นคง,ตั้งอยู่ใกล้กระทรวงกลาโหม ตรงข้ามพระบรมมหาราชวัง ถนนหลักเมือง แขวงพระบรมมหาราชวัง เขตพระนคร กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.30-18.30 น,-,"มีการไหว้ 5 จุดด้วยกัน ตามลำดับจุดที่ 1 หอพระพุทธรูป ไหว้ด้วยดอกบัว
จุดที่ 2 องค์พระหลักเมืองจำลอง จุดธูปเทียน กล่าวคำบูชา จากนั้นผูกผ้าสามสีที่เสาต้นที่ 2
จุดที่ 3 องค์พระหลักเมืององค์จริง ไหว้ด้วยพวงมาลัย พร้อมกล่าวคำบูชา
จุดที่ 4 หอเทพารักษ์ทั้ง 5
จุดที่ 5 เติมน้ำมันพระประจำวันเกิด และสะเดาะเคราะห์",https://drive.google.com/file/d/17hoI8GNOISJu42mhMj8mOJmghPLSKlgE/view?usp=sharing,เสริมดวง
ท้าวมหาพรหมเอราวัณ, ด้วยความเชื่อที่ว่า พระพรหม คือเป็นผู้สร้างในทุกๆ สิ่ง เป็นมหาเทพผู้ยิ่งใหญ่ที่จะดลบันดาลทุกอย่างเป็นไปได้ด้วยดีตามที่ปรารถนา ประชาชนคนไทยและชาวต่างประเทศจึงศรัทธาพากันแวะเวียนไปกราบไหว้บูชา,หน้าโรงแรมแกรนด์ ไฮแอท เอราวัณ บริเวณสี่แยกราชประสงค์ ถนนราชดำริ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-22.00 น.,-,สักการะพระพรหมให้ครบทั้ง 4 หน้า โดยเริ่มจากพักตร์กลางเป็นที่แรก จากนั้นเวียนไปตามเข็มนาฬิกา โดยใช้ธูป 16 ดอก เทียน 9 เล่ม ดอกบัว 9 ดอก และน้ำ 1 ขวด โดยสามารถนำผลไม้และดอกไม้มาถวายร่วมได้ เช่น กล้วย มะพร้าว และพวงดอกมะลิ แต่ไม่ควรนำเนื้อสัตว์มาถวายโดยเด็ดขาด,https://drive.google.com/file/d/1N3NyZEYqyBdWvkEd3F6f7sr3EYuZFXBh/view?usp=sharing,การงาน
ท้าวมหาพรหมเอราวัณ, ด้วยความเชื่อที่ว่า พระพรหม คือเป็นผู้สร้างในทุกๆ สิ่ง เป็นมหาเทพผู้ยิ่งใหญ่ที่จะดลบันดาลทุกอย่างเป็นไปได้ด้วยดีตามที่ปรารถนา ประชาชนคนไทยและชาวต่างประเทศจึงศรัทธาพากันแวะเวียนไปกราบไหว้บูชา,หน้าโรงแรมแกรนด์ ไฮแอท เอราวัณ บริเวณสี่แยกราชประสงค์ ถนนราชดำริ แขวงลุมพินี เขตปทุมวัน กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-22.00 น.,-,สักการะพระพรหมให้ครบทั้ง 4 หน้า โดยเริ่มจากพักตร์กลางเป็นที่แรก จากนั้นเวียนไปตามเข็มนาฬิกา โดยใช้ธูป 16 ดอก เทียน 9 เล่ม ดอกบัว 9 ดอก และน้ำ 1 ขวด โดยสามารถนำผลไม้และดอกไม้มาถวายร่วมได้ เช่น กล้วย มะพร้าว และพวงดอกมะลิ แต่ไม่ควรนำเนื้อสัตว์มาถวายโดยเด็ดขาด,https://drive.google.com/file/d/1N3NyZEYqyBdWvkEd3F6f7sr3EYuZFXBh/view?usp=sharing,การงาน
ศาลเจ้าแม่ทับทิม,นิยมมากราบไหว้ขอพรเรื่องการงาน ค้าขาย การลงทุน ,325 ซอย จุฬาลงกรณ์ 30 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ซอยจุฬาลงกรณ์ 30 (เชื่อมกับซอยจุฬาลงกรณ์ 9) แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร,https://drive.google.com/file/d/1b6vjIUIBYBPCcTRZUHYkkjX5Pf8P277_/view?usp=sharing,เสริมดวง
ศาลเจ้าแม่ทับทิม,นิยมมากราบไหว้ขอพรเรื่องการงาน ค้าขาย การลงทุน ,325 ซอย จุฬาลงกรณ์ 30 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ซอยจุฬาลงกรณ์ 30 (เชื่อมกับซอยจุฬาลงกรณ์ 9) แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร,https://drive.google.com/file/d/1b6vjIUIBYBPCcTRZUHYkkjX5Pf8P277_/view?usp=sharing,การงาน
เทพทันใจ,ผู้ใดมากระชิบขอสิ่งใดจะสมปรารถนาได้รวดเร็วทันใจตามที่หวังไว้ ไม่ว่าจะเป็นเรื่องงาน ค้าขาย,90 ถนนศรีอยุธยา แขวงวชิรพยาบาล แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,"จ,อ,พ,พฤ,ศ,ส,อา ",8.00 – 18.00 น.,-,"เครื่องบูชา ประกอบด้วย ดอกไม้ ผลไม้ เช่น กล้วยนากสีแดง และมะพร้าวน้ำหอม ท่านไม่ทานเนื้อสัตว์,ธนบัตร 2 ใบ",https://drive.google.com/file/d/1UFPx3nRgCCGeP1gT_T0mIhkdbYtwO60t/view?usp=sharing,เสริมดวง
เทพทันใจ,ผู้ใดมากระชิบขอสิ่งใดจะสมปรารถนาได้รวดเร็วทันใจตามที่หวังไว้ ไม่ว่าจะเป็นเรื่องงาน ค้าขาย,90 ถนนศรีอยุธยา แขวงวชิรพยาบาล แขวงดุสิต เขตดุสิต กรุงเทพมหานคร 10300,"จ,อ,พ,พฤ,ศ,ส,อา ",8.00 – 18.00 น.,-,"เครื่องบูชา ประกอบด้วย ดอกไม้ ผลไม้ เช่น กล้วยนากสีแดง และมะพร้าวน้ำหอม ท่านไม่ทานเนื้อสัตว์,ธนบัตร 2 ใบ",https://drive.google.com/file/d/1UFPx3nRgCCGeP1gT_T0mIhkdbYtwO60t/view?usp=sharing,การงาน
วัดสุามพระยา,พระประธาน ตั้งอยู่ภายในพระอุโบสถ เป็นพระพุทธรูปปางมารวิชัย ลงรักปิดทอง ประทับบนรัตนบัลลังก์ มีความเชื่อว่าหากใครได้ไปกราบไหว้จะทำให้ชีวิตเจริญก้าวหน้า ในทั้งการเงินและการงาน,,"จ,อ,พ,พฤ,ศ,ส,อา ",05.00-18.00 น.,-,จุดธูปและเทียนที่จุดบูชา จากนั้นกราบพระพุทธรูป 3 ครั้ง,https://drive.google.com/file/d/1Daxo8DcNZ_-Rp1IwULaCcPXwjjrCZ_fZ/view?usp=sharing,การงาน
วัดสุามพระยา,พระประธาน ตั้งอยู่ภายในพระอุโบสถ เป็นพระพุทธรูปปางมารวิชัย ลงรักปิดทอง ประทับบนรัตนบัลลังก์ มีความเชื่อว่าหากใครได้ไปกราบไหว้จะทำให้ชีวิตเจริญก้าวหน้า ในทั้งการเงินและการงาน,,"จ,อ,พ,พฤ,ศ,ส,อา ",05.00-18.00 น.,-,จุดธูปและเทียนที่จุดบูชา จากนั้นกราบพระพุทธรูป 3 ครั้ง,https://drive.google.com/file/d/1Daxo8DcNZ_-Rp1IwULaCcPXwjjrCZ_fZ/view?usp=sharing,เสริมดวง
วัดกัลยาณมิตรวรมหาวิหาร,ผู้คนส่วนใหญ่นิยมเดินทางมากราบไหว้ “หลวงพ่อโต” และแก้ปีชง เสริมความเป็นสิริมงคล คุ้มครองดวงชะตา เพื่อให้สิ่งร้าย ๆ กลายเป็นดี ,ริมแม่น้ำเจ้าพระยา ฝั่งธนบุรี บริเวณปากคลองบางกอกใหญ่ฝั่งใต้ ซอยอรุณอมรินทร์ 6 ถนนอรุณอมรินทร์ เเขวงวัดกัลยาณ์ เขตธนบุรี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ธูป 3 ดอก เทียนแดงคู่ และดอกไม้พวงมาลัย,https://drive.google.com/file/d/1JCz38EnINuAKoSrsiOIh7rjCLMuhPMy7/view?usp=sharing,เสริมดวง
วัดกัมโล่วยี่ (วัดทิพยวารีวิหาร),โดยภายในวัดมีองค์เทพและเทวรูปสำคัญ ๆ ประดิษฐานอยู่มากมาย ไม่ว่าจะเป็น หมออูโต๋ว เทพปรองดองหรือเทพแห่งความรัก เทพขุนพลเอี่ยยิ่ม องค์ซำกวงหรือเทพ 3 ตา และพระโพธิสัตว์อวโลกิเตศวร ที่ทรงประธานพรในด้านต่าง ๆ อย่างครบครัน จึงทำให้ผู้คนในละแวกนั้นและคนส่วนใหญ่ต่างพากันไปสักการะบูชา ไหว้ขอพร และทำบุญแก้ชงในแต่ละปีอย่างไม่ขาดสาย,119 ซอย ทิพย์วารี แขวง วังบูรพาภิรมย์ เขตพระนคร กรุงเทพมหานคร 10200,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ผลไม้ ดอกไม้ และธูปเทียน,https://drive.google.com/file/d/1iaRWVK6rJxuqVQ9eCqm9dMZT-F07bt33/view?usp=sharing,เสริมดวง
วัดกลางบางพระ,ภายในวัดเป็นที่ประดิษฐานของ หลวงพ่อสมหวัง หรือหลวงพ่อใหญ่ โดยคนที่มากราบไหว้หลวงพ่อจะนิยมขอพรให้ประสบความสำเร็จ,ตำบลบางพระ อำเภอนครชัยศรี จังหวัดนครปฐม,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,ของแก้บน : ไข่ไก่ ไข่เป็ด ข้าวสาร และหัวหมู เพื่อทางวัดจะนำไปมอบต่อให้โรงพยาบาล โรงเรียน และชุมชนใกล้วัด รวมถึงนำไปประกอบอาหารแจกผู้มาทำบุญที่วัด,https://drive.google.com/file/d/1kCGGbQMVkG2GbMhGvMIu5Ii8hZolaOlU/view?usp=sharing,เสริมดวง
