ชื่อเครื่องราง,ภาพ,พิกัดขาย,ประเภทเครื่องราง,ความเชื่อ,วัสดุที่ใช้,ปีที่สร้าง,พิธีปลุกเสก,วัตถุประสงค์การใช้งาน,ราคาโดยประมาณ,ความนิยม,ความเกี่ยวข้องกับบุคคลสำคัญ,หมวดหมู่,,
ตะกรุดสาริกาคู่,https://drive.google.com/file/d/1JxR-Kf__dB5hqhEEBEHbuZ6OPvMN58PL/view?usp=drive_link,วัดบวรนิเวศวิหาร,ตะกรุด,เสริมโชคลาภ การค้า การเจรจา,"ทองคำ, เงิน",2545,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมการเจรจา,"5,000+",กลาง,สมเด็จพระสังฆราช,การเงิน,,
พระกริ่งปวเรศ,https://drive.google.com/file/d/15XZwn8zGNsWsmWmlk2rXmF_KQ0kXkkiw/view?usp=drive_link,วัดบวรนิเวศวิหาร,พระเครื่อง,เสริมโชคลาภ ความมั่งคั่ง,เนื้อทองคำ,2393,ปลุกเสกโดยสมเด็จพระสังฆราช,บูชาที่บ้านเพื่อเสริมโชคลาภ,"100,000+",สูง,สมเด็จพระสังฆราช (สุก ไก่เถื่อน),การเงิน,,
พระราหูอมจันทร์,https://drive.google.com/file/d/110Vz4UU8DVCGze1ZNmEE_RqsomC2BCC3/view?usp=sharing,"วัดศีรษะทอง, นครปฐม",พระเครื่อง,เสริมโชคลาภ เงินทองเข้ามา,"ทองเหลือง, เนื้อดิน",2540,ปลุกเสกโดยพระอาจารย์ดัง,พกติดตัวเพื่อเสริมโชคลาภ,"8,000+",สูง,พระเกจิชื่อดัง,การเงิน,,
กุมารทองมาหาโชค,https://drive.google.com/file/d/18w0i5oQsDkwjIEbgf0p_QhIuBO88HRAG/view?usp=sharing,"วัดเจดีย์, นครศรีธรรมราช",เครื่องรางของขลัง,"เรียกทรัพย์, เสริมโชคลาภ","ไม้, ทองคำ",2555,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้านเพื่อเสริมโชคลาภ,"12,000+",สูง,หลวงพ่อแช่ม,การเงิน,,
ตะกรุดสาริกามหาลาภ,https://drive.google.com/file/d/1guxXHT4BP_OxqZQT8Ps-M7Tuq5tbA73-/view?usp=sharing,"วัดชนะสงคราม, กรุงเทพ",ตะกรุด,เสริมโชคลาภในการค้า ขายของดี,"ทองคำ, เงิน",2548,ปลุกเสกโดยหลวงพ่อเกจิ,พกติดตัวเพื่อเสริมโชคลาภ,"7,000+",กลาง,หลวงพ่อพูน,การเงิน,,
หินไหมทอง,https://drive.google.com/file/d/1SZnQPbwBu_oH-4qFCPLYE8RjoyfqwQDE/view?usp=sharing,วัดพระเชตุพนวิมลมังคลาราม (วัดโพธิ์),หินมงคล,ดึงดูดทรัพย์ เสริมโชคลาภ,หินไหมทอง,2560,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือวางไว้ที่บ้าน,"1,200+",สูง,,การเงิน,,
ปี่เซี๊ยะ,https://drive.google.com/file/d/1lhZ2S7SxAooKIpsOp0JnARYIspPyH1Wr/view?usp=sharing,ศาลหลักเมืองกรุงเทพ,เครื่องรางสัตว์,เสริมโชคลาภ ความสำเร็จในการงาน,หินหยก,2562,พิธีบวงสรวงโดยพระอาจารย์ดัง,ตั้งบูชาที่บ้านเพื่อเสริมโชคลาภ,"3,000+",สูง,,การเงิน,,
ตะกรุดนางกวัก,https://drive.google.com/file/d/1sTNBBbETa9VhgKSi1ETghm88c1NbtO29/view?usp=sharing,"วัดบางพลัด, กรุงเทพ",ตะกรุด,เสริมโชคลาภในร้านค้า,ทองแดง,2550,ปลุกเสกโดยพระเกจิอาจารย์ดัง,พกติดตัวหรือวางไว้ที่ร้านค้า,"6,000+",กลาง,หลวงพ่อจง,การเงิน,,
กริ่งเจริญพร,https://drive.google.com/file/d/1cgUxpmhfrKxKasbQ9tRdMVmmoSzO37M1/view?usp=sharing,"วัดสุทัศน์เทพวราราม, กรุงเทพ",พระเครื่อง,เสริมโชคลาภ การงานรุ่งเรือง,เนื้อทองคำ,2540,ปลุกเสกโดยสมเด็จพระสังฆราช,ตั้งบูชาที่บ้านหรือพกติดตัว,"25,000+",สูง,สมเด็จพระสังฆราช (ช่วง),การเงิน,,
พระขุนแผนพรายกุมาร,https://drive.google.com/file/d/1Q_FLf6zIAHeHMa9PcwX9GoSSIAk76kkz/view?usp=sharing,"วัดบ้านกร่าง, กรุงเทพ",พระเครื่อง,เรียกทรัพย์ เสริมโชคลาภ,เนื้อผงพุทธคุณ,2542,ปลุกเสกโดยพระเกจิอาจารย์ดัง,พกติดตัวเพื่อเสริมโชคลาภ,"12,000+",สูง,,การเงิน,,
แหวนหลวงปู่ทวด,https://drive.google.com/file/d/1EHhyNDkGGrCmyJ_5gGZVd-t1vpvEqzYQ/view?usp=sharing,"วัดช้างให้, ปัตตานี",เครื่องราง,ป้องกันภัย เสริมโชคลาภ,"ทองเหลือง, ทองคำ",2515,ปลุกเสกพิธีใหญ่,พกติดตัวเพื่อป้องกันภัยและโชคลาภ,"15,000+",สูง,หลวงปู่ทวด,การเงิน,,
พระปิดตาเมตตาเงินทอง,https://drive.google.com/file/d/1hLompHvBLFinyvUTTiMvsRzqBg1Kovz7/view?usp=sharing,"วัดบวรนิเวศวิหาร, กรุงเทพ",พระเครื่อง,ปิดบังสิ่งไม่ดี เรียกโชคลาภ,เนื้อผงวิเศษ,2545,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัวเพื่อเสริมโชคลาภ,"5,000+",สูง,สมเด็จพระสังฆราช,การเงิน,,
พระราหูอมจันทร์,https://drive.google.com/file/d/12ZNclmPhoZrhXRMcxvYfsH-WcwV-j7KO/view?usp=drive_link,"วัดศรีษะทอง, นครปฐม",พระราหู,เสริมโชคลาภและปัดเป่าเคราะห์ร้าย,เนื้อผงพุทธคุณ,2545,ปลุกเสกโดยพระเกจิชื่อดัง,พกติดตัวเพื่อเสริมโชคลาภและปัดเป่าเคราะห์,"6,000+",สูง,,การเงิน,,
ตะกรุดนำโชคหลวงพ่อทวด,https://drive.google.com/file/d/1yaMweDphZiGTPSif-3BeGYzYnsH6zX4a/view?usp=drive_link,"วัดช้างให้, ปัตตานี",ตะกรุด,เสริมโชคลาภ ป้องกันภัย,ทองแดง,2520,ปลุกเสกโดยหลวงพ่อทวด,พกติดตัวเพื่อเสริมโชคลาภและป้องกันภัย,"10,000+",สูง,หลวงพ่อทวด,การเงิน,,
ผ้ายันต์พญานาค,https://drive.google.com/file/d/1IEBRXZNuhuJ5XPPCcUaYtbfZf8S95x34/view?usp=drive_link,"วัดป่าคลอง 11, ปทุมธานี",ผ้ายันต์,เสริมโชคลาภและความมั่งคั่ง,ผ้า,2550,ปลุกเสกพิธีใหญ่,แขวนไว้ในบ้านหรือพกติดตัวเพื่อเสริมโชคลาภ,"3,500+",กลาง,,การเงิน,,
เหรียญพระพิฆเนศ,https://drive.google.com/file/d/1fL1iKwRV_zCyW0vO0tUaHdyAkHRPpEgT/view?usp=drive_link,"วัดแขก, กรุงเทพ",เหรียญ,เสริมโชคลาภ การงาน ร่ำรวย,เนื้อเงิน,2555,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือบูชาที่บ้าน,"8,000+",สูง,,การเงิน,,
กำไลนาคเกี้ยว,https://drive.google.com/file/d/1IdO-a2rrbnFIbuAUFERLh5FsUqp-eNP_/view?usp=drive_link,"วัดนาคปรก, กรุงเทพ",กำไล,เสริมโชคลาภและปัดเป่าเคราะห์ร้าย,ทองแดง,2560,ปลุกเสกโดยหลวงปู่แสง,สวมใส่เพื่อเสริมโชคลาภและความมั่งคั่ง,"2,500+",กลาง,หลวงปู่แสง,การเงิน,,
พระปิดตาหลวงพ่อแก้ว,https://drive.google.com/file/d/18mKBo4zYN5dcc4KItd6_P_gOBs5BI7gI/view?usp=drive_link,"วัดเครือวัลย์, ชลบุรี",พระเครื่อง,เสริมโชคลาภ ความมั่งคั่ง,เนื้อผงพุทธคุณ,2495,ปลุกเสกโดยหลวงพ่อแก้ว,พกติดตัวเพื่อเสริมโชคลาภ,"12,000+",สูง,หลวงพ่อแก้ว,การเงิน,,
ตะกรุดทองคำ,https://drive.google.com/file/d/1fi2shc3hSbaSxw2KlVOmyE5oXxHBpBVs/view?usp=drive_link,"วัดท่าซุง, อุทัยธานี",ตะกรุด,เสริมโชคลาภและการเงิน,ทองคำ,2528,ปลุกเสกพิธีใหญ่,พกติดตัวเพื่อเสริมโชคลาภและการเงิน,"15,000+",สูง,,การเงิน,,
พระกริ่งชินบัญชร,https://drive.google.com/file/d/1SUh8_3lAxf6GATWfA5aAYQwhr7Xr6qqp/view?usp=drive_link,"วัดระฆังโฆสิตาราม, กรุงเทพ",พระเครื่อง,เสริมโชคลาภ ความมั่งคั่ง,ทองเหลือง,2515,ปลุกเสกโดยสมเด็จโต พรหมรังสี,พกติดตัวเพื่อเสริมความร่ำรวยและโชคลาภ,"18,000+",สูง,สมเด็จโต พรหมรังสี,การเงิน,,
หินอาเกตแดง,https://drive.google.com/file/d/1D69kLebakgLSBUpRC-6JT-npHc9LAEBB/view?usp=drive_link,"วัดสุทัศน์เทพวราราม, กรุงเทพ",หินมงคล,เสริมโชคลาภและการเงิน,หินอาเกต,2562,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมโชคลาภและความมั่งคั่ง,"2,800+",กลาง,,การเงิน,,
เครื่องรางปี่เซียะ,https://drive.google.com/file/d/1GCBSB5cl70ZJykQyNpwLRcEtDaKbI-f4/view?usp=drive_link,"ศาลเจ้าแม่กวนอิม, กรุงเทพ",เครื่องราง,เสริมโชคลาภและการเงิน,หินหยก,2561,ปลุกเสกในพิธีบวงสรวง,วางในบ้านหรือที่ทำงานเพื่อเสริมโชคลาภ,"3,000+",กลาง,,การเงิน,,
ตะกรุดหลวงพ่อคูณ,https://drive.google.com/file/d/1phrJbduTqeK5zc7qrqF8EJDCUB55P4gD/view?usp=drive_link,"วัดบ้านไร่, นครราชสีมา",ตะกรุด,เสริมโชคลาภและการเงิน,ทองแดง,2530,ปลุกเสกโดยหลวงพ่อคูณ,พกติดตัวเพื่อเสริมโชคลาภและการเงิน,"7,500+",สูง,หลวงพ่อคูณ,การเงิน,,
ผ้ายันต์พระลักษณ์หน้าทอง,https://drive.google.com/file/d/1tSZTFj2eDU4ArO_1pZylRbo1sT9kMA97/view?usp=drive_link,"วัดนางพญา, พิษณุโลก",ผ้ายันต์,เสริมโชคลาภ ความรัก และความมั่งคั่ง,ผ้า,2553,ปลุกเสกในพิธีใหญ่,พกติดตัวหรือบูชาที่บ้าน,"3,500+",กลาง,,การเงิน,,
ตะกรุดทองคำ หลวงปู่คำแสน,https://drive.google.com/file/d/1ja6BYRt_EuboI04AuQgIrA2undHU_zgJ/view?usp=drive_link,"วัดป่าดอนมูล, เชียงใหม่",ตะกรุด,เสริมโชคลาภและการเงิน,ทองคำ,2545,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมโชคลาภและความมั่งคั่ง,"10,000+",สูง,หลวงปู่คำแสน,การเงิน,,
ผ้ายันต์มหาลาภ หลวงพ่อเงิน,https://drive.google.com/file/d/1FZLfmaGtNCy9nQY6SGlbw-5eq9oMPOsM/view?usp=drive_link,"วัดบางคลาน, พิจิตร",ผ้ายันต์,เสริมโชคลาภและการค้าขาย,ผ้า,2520,ปลุกเสกโดยหลวงพ่อเงิน,แขวนไว้ในบ้านหรือร้านค้าเพื่อเสริมโชคลาภ,"4,500+",กลาง,หลวงพ่อเงิน,การเงิน,,
เหรียญเจ้าแม่กวนอิม,https://drive.google.com/file/d/1JumIavnjkk39cuA3EplxgbGpvV4GsWMr/view?usp=drive_link,"ศาลเจ้าแม่กวนอิม, กรุงเทพ",เหรียญ,เสริมโชคลาภ ความเมตตา,เนื้อเงิน,2558,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือบูชาที่บ้าน,"3,500+",กลาง,เจ้าแม่กวนอิม,การเงิน,,
พระกริ่งจักรพรรดิ์,https://drive.google.com/file/d/18GU0UN3fyzHtqvscqPdX_1Z9sz2ZUT0k/view?usp=drive_link,"วัดสุทัศนเทพวราราม, กรุงเทพ",พระกริ่ง,เสริมโชคลาภ ความมั่งคั่ง,ทองเหลือง,2530,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมการเงินและโชคลาภ,"12,000+",สูง,,การเงิน,,
กำไลหยกเขียว,https://drive.google.com/file/d/1AWYLtERO6LHR0fZEHqQlcG5BFxxqlFXV/view?usp=drive_link,"วัดบวรนิเวศวิหาร, กรุงเทพ",กำไลหยก,เสริมโชคลาภ การงาน การเงิน,หยกเขียว,2561,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมโชคลาภและความมั่งคั่ง,"2,800+",กลาง,,การเงิน,,
พระขุนแผน หลวงพ่อทิม,https://drive.google.com/file/d/10w45QBSdaNqANNmI26kmC64YhAKzBCOt/view?usp=drive_link,"วัดละหารไร่, ระยอง",พระเครื่อง,เสริมโชคลาภ ความรัก,เนื้อผงพุทธคุณ,2515,ปลุกเสกโดยหลวงพ่อทิม,พกติดตัวเพื่อเสริมโชคลาภ,"18,000+",สูง,หลวงพ่อทิม,การเงิน,,
ผ้ายันต์แม่ย่านาง,https://drive.google.com/file/d/1gfWRj9kTzutFSxwnr6N-GI8SsaptNXo6/view?usp=drive_link,"ศาลเจ้าแม่ย่านาง, กรุงเทพ",ผ้ายันต์,เสริมโชคลาภและการค้าขาย,ผ้า,2553,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือบูชาที่บ้าน,"3,000+",กลาง,แม่ย่านาง,การเงิน,,
ตะกรุดโภคทรัพย์ หลวงพ่อเงิน,https://drive.google.com/file/d/1bCu1x7onHHE4CPxusw_ZH2A7R04P6gfw/view?usp=drive_link,"วัดบางคลาน, พิจิตร",ตะกรุด,เสริมโชคลาภและความมั่งคั่ง,ทองแดง,2520,ปลุกเสกโดยหลวงพ่อเงิน,พกติดตัวเพื่อเสริมการเงินและโชคลาภ,"7,500+",สูง,หลวงพ่อเงิน,การเงิน,,
พระปิดตา หลวงพ่อทับ,https://drive.google.com/file/d/1WDpyaDGTkkoH9_1Vma4bPaRrme_DeGx8/view?usp=drive_link,"วัดทอง, กรุงเทพ",พระเครื่อง,เสริมโชคลาภ การเงิน ความสำเร็จ,เนื้อผงพุทธคุณ,2490,ปลุกเสกโดยหลวงพ่อทับ,พกติดตัวเพื่อเสริมโชคลาภ,"10,000+",สูง,หลวงพ่อทับ,การเงิน,,
ผ้ายันต์ฟ้าประทานพร,https://drive.google.com/file/d/19dkk1Cyd_a8BkJgJtvjc00yFBnZFb1gb/view?usp=drive_link,"ศาลเจ้าพ่อเสือ, กรุงเทพ",ผ้ายันต์,เสริมโชคลาภและการเงิน,ผ้า,2560,ปลุกเสกในพิธีบวงสรวง,พกติดตัวหรือบูชาที่บ้าน,"2,500+",กลาง,,การเงิน,,
เหรียญหลวงปู่ทวด,https://drive.google.com/file/d/1oMfFlPcYv5zVBmAsq36wqWblnjRzrKki/view?usp=drive_link,"วัดช้างให้, ปัตตานี",เหรียญ,เสริมโชคลาภและป้องกันภัย,เนื้อทองแดง,2540,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อเสริมโชคลาภ,"12,000+",สูง,หลวงปู่ทวด,การเงิน,,
พระกริ่งอุปคุต,https://drive.google.com/file/d/1OAPl43_v5GOrW2f7iHHgtNUy14rIRzWv/view?usp=drive_link,"วัดทองนพคุณ, กรุงเทพ",พระเครื่อง,เสริมโชคลาภ ค้าขาย ร่ำรวย,ทองเหลือง,2550,ปลุกเสกในพิธีบวงสรวง,พกติดตัวเพื่อเสริมการเงินและโชคลาภ,"5,000+",กลาง,,การเงิน,,
กำไลหินไหมทอง,https://drive.google.com/file/d/1ISZDaGeJcntG203UNVHpd8bnf-s_XpyC/view?usp=drive_link,"วัดพระศรีมหาอุมาเทวี (วัดแขก), กรุงเทพ",กำไลหิน,เสริมโชคลาภ การงาน การเงิน,หินไหมทอง,2560,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมโชคลาภและความมั่งคั่ง,"2,800+",กลาง,,การเงิน,,
พระปิดตาหลวงปู่ศุข,https://drive.google.com/file/d/17vphMF843CWZIgjas52NGFmOBQHKb2Ut/view?usp=drive_link,"วัดปากคลองมะขามเฒ่า, ชัยนาท",พระเครื่อง,เสริมโชคลาภและความมั่งคั่ง,เนื้อผงพุทธคุณ,2515,ปลุกเสกโดยหลวงปู่ศุข,พกติดตัวเพื่อเสริมโชคลาภ,"15,000+",สูง,หลวงปู่ศุข,การเงิน,,37 รูป
เหรียญพระชัยวัฒน์,,วัดพระธรรมกาย,เหรียญ,เสริมโชคลาภ การเงิน,เนื้อเงิน,2550,ปลุกเสกโดยเกจิชื่อดัง,พกติดตัวหรือบูชาที่บ้าน,"4,500+",สูง,พระธรรมกาย,การเงิน,,
พระพุทธชินราช,,วัดพระศรีรัตนมหาธาตุ,พระเครื่อง,เสริมโชคลาภ การค้าขาย,เนื้อทองคำ,2562,ปลุกเสกในพิธีใหญ่,บูชาที่บ้านหรือพกติดตัว,"10,000+",สูง,,การเงิน,,
กำไลนาค,,วัดนาคปรก,กำไล,เสริมโชคลาภและปัดเป่าเคราะห์ร้าย,หยกเขียว,2561,ปลุกเสกโดยหลวงพ่อแสง,สวมใส่เพื่อเสริมโชคลาภ,"2,800+",กลาง,หลวงพ่อแสง,การเงิน,,
พระกริ่งปวเรศ,https://drive.google.com/file/d/1UprgGETY6BRUZgU5TvnzGG-lK9Rl5l6j/view?usp=drive_link,วัดบวรนิเวศวิหาร,พระเครื่อง,เสริมการงานรุ่งเรือง,ทองคำ,2393,ปลุกเสกโดยสมเด็จพระสังฆราช,บูชาที่บ้าน,"100,000+",สูง,สมเด็จพระสังฆราช,การงาน,,
ตะกรุดสาริกาคู่ วัดบวรนิเวศวิหาร,https://drive.google.com/file/d/1bW8CNbbpH1LoAVmour9cQGBSYz5kKy7D/view?usp=drive_link,วัดบวรนิเวศวิหาร,ตะกรุด,เสริมการเจรจา,"ทองคำ, เงิน",2545,ปลุกเสกในพิธีใหญ่,พกติดตัว,"5,000+",กลาง,สมเด็จพระสังฆราช,การงาน,,
พระกริ่งเจริญพร,https://drive.google.com/file/d/1VvkMpvJ-B4UzhJyNcNRD2bU6qwWUdv5_/view?usp=drive_link,วัดสุทัศน์เทพวราราม,พระเครื่อง,เสริมการงาน,ทองคำ,2540,ปลุกเสกโดยสมเด็จพระสังฆราช,บูชาที่บ้าน,"25,000+",สูง,สมเด็จพระสังฆราช,การงาน,,
ตะกรุดนางกวัก,https://drive.google.com/file/d/1a8OsDilt60H5_rVHN_Rni29pnu6VYFIP/view?usp=drive_link,วัดบางพลัด,ตะกรุด,เสริมโชคลาภในร้านค้า,ทองแดง,2550,ปลุกเสกโดยพระเกจิ,พกติดตัว,"6,000+",กลาง,หลวงพ่อจง,การงาน,,
กุมารทองมาหาโชค,https://drive.google.com/file/d/189TX9qxMautflFwqQrSko1Ot_byWhagL/view?usp=drive_link,วัดเจดีย์,เครื่องราง,เรียกทรัพย์,"ไม้, ทองคำ",2555,ปลุกเสกพิธีใหญ่,ตั้งบูชาที่บ้าน,"12,000+",สูง,หลวงพ่อแช่ม,การงาน,,
พระขุนแผนพรายกุมาร,https://drive.google.com/file/d/12suZYsbS-bKEaB39DVKY550xa9ltG7uy/view?usp=drive_link,วัดบ้านกร่าง,พระเครื่อง,เรียกทรัพย์,เนื้อผงพุทธคุณ,2542,ปลุกเสกโดยพระเกจิ,พกติดตัว,"12,000+",สูง,,การงาน,,
ผ้ายันต์พญานาค ปากคลอง 11,https://drive.google.com/file/d/1Ff37D4nGuw6MtosGbNTyfzZmSDmibpQO/view?usp=drive_link,วัดป่าคลอง 11,ผ้ายันต์,เสริมการงาน,ผ้า,2550,ปลุกเสกพิธีใหญ่,แขวนในบ้าน,"3,500+",กลาง,,การงาน,,
เหรียญพระพิฆเนศ วัดแขก,https://drive.google.com/file/d/1a6pDp4n-d9CaDh4kS6jYwCgSsOZaVxMR/view?usp=drive_link,วัดแขก,เหรียญ,เสริมการงาน,เงิน,2555,ปลุกเสกในพิธีบวงสรวง,พกติดตัว,"8,000+",สูง,,การงาน,,
พระปิดตาเมตตาเงินทอง,https://drive.google.com/file/d/1Nmlw92v37maWSyNok0vMEBbrzCSppYuJ/view?usp=drive_link,วัดบวรนิเวศวิหาร,พระเครื่อง,เรียกโชคลาภ,ผงวิเศษ,2545,ปลุกเสกโดยสมเด็จพระสังฆราช,พกติดตัว,"5,000+",สูง,สมเด็จพระสังฆราช,การงาน,,
พระราหูอมจันทร์ วัดศีรษะทอง,https://drive.google.com/file/d/1ECpHroz7Uv7bD8oFHQ5zDjKu1kWXo_gU/view?usp=drive_link,วัดศีรษะทอง,พระเครื่อง,เสริมโชคลาภ,ทองเหลือง,2540,ปลุกเสกโดยพระอาจารย์ดัง,พกติดตัว,"8,000+",สูง,พระเกจิชื่อดัง,การงาน,,10 รูป
พระกริ่งจักรพรรดิ์,,วัดสุทัศนเทพวราราม,พระเครื่อง,เสริมการงาน,ทองเหลือง,2530,ปลุกเสกในพิธีบวงสรวง,พกติดตัว,"12,000+",สูง,,การงาน,,
ตะกรุดทองคำ,,วัดท่าซุง,ตะกรุด,เสริมการเงิน,ทองคำ,2528,ปลุกเสกพิธีใหญ่,พกติดตัว,"15,000+",สูง,,การงาน,,
พระปิดตาหลวงพ่อแก้ว,,วัดเครือวัลย์,พระเครื่อง,เสริมโชคลาภ,ผงพุทธคุณ,2495,ปลุกเสกโดยหลวงพ่อแก้ว,พกติดตัว,"12,000+",สูง,หลวงพ่อแก้ว,การงาน,,
กำไลนาคเกี้ยว,,วัดนาคปรก,กำไล,เสริมโชคลาภ,ทองแดง,2560,ปลุกเสกโดยหลวงปู่แสง,สวมใส่,"2,500+",กลาง,หลวงปู่แสง,การงาน,,
พระกริ่งอุปคุต,,วัดทองนพคุณ,พระเครื่อง,เสริมการงาน,ทองเหลือง,2550,ปลุกเสกในพิธีบวงสรวง,พกติดตัว,"5,000+",กลาง,,การงาน,,
ตะกรุดนำโชคหลวงพ่อทวด,,วัดช้างให้,ตะกรุด,เสริมโชคลาภ,ทองแดง,2520,ปลุกเสกโดยหลวงพ่อทวด,พกติดตัว,"10,000+",สูง,หลวงพ่อทวด,การงาน,,
ผ้ายันต์มหาลาภ หลวงพ่อเงิน,,วัดบางคลาน,ผ้ายันต์,เสริมการค้า,ผ้า,2520,ปลุกเสกโดยหลวงพ่อเงิน,แขวนในบ้าน,"4,500+",กลาง,หลวงพ่อเงิน,การงาน,,
ตะกรุดทองคำ หลวงปู่คำแสน,,วัดป่าดอนมูล,ตะกรุด,เสริมการเงิน,ทองคำ,2545,ปลุกเสกในพิธีใหญ่,พกติดตัว,"10,000+",สูง,หลวงปู่คำแสน,การงาน,,
พระปิดตาหลวงปู่ศุข,,วัดปากคลองมะขามเฒ่า,พระเครื่อง,เสริมโชคลาภ,ผงพุทธคุณ,2515,ปลุกเสกโดยหลวงปู่ศุข,พกติดตัว,"15,000+",สูง,หลวงปู่ศุข,การงาน,,
เหรียญหลวงปู่ทวด,,วัดช้างให้,เหรียญ,เสริมโชคลาภ,ทองแดง,2540,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัว,"12,000+",สูง,หลวงปู่ทวด,การงาน,,
พระกริ่งชินบัญชร,,วัดระฆังโฆสิตาราม,พระเครื่อง,เสริมโชคลาภ,ทองเหลือง,2515,ปลุกเสกโดยสมเด็จโต,พกติดตัว,"18,000+",สูง,สมเด็จโต,การงาน,,
หินไหมทอง,,วัดพระเชตุพน,หินมงคล,ดึงดูดทรัพย์,หินไหมทอง,2560,ปลุกเสกในพิธีบวงสรวง,พกติดตัว,"1,200+",สูง,,การงาน,,
กำไลหยกเขียว,,วัดบวรนิเวศวิหาร,กำไล,เสริมโชคลาภ,หยกเขียว,2561,ปลุกเสกในพิธีบวงสรวง,สวมใส่,"2,800+",กลาง,,การงาน,,
ผ้ายันต์ฟ้าประทานพร,,ศาลเจ้าพ่อเสือ,ผ้ายันต์,เสริมการงาน,ผ้า,2555,ปลุกเสกในพิธีใหญ่,แขวนในบ้าน,"4,000+",กลาง,,การงาน,,
เหรียญพระราหู,,วัดศีรษะทอง,เหรียญ,เสริมโชคลาภ,เงิน,2555,ปลุกเสกในพิธีใหญ่,พกติดตัว,"8,000+",สูง,,การงาน,,
พระกริ่งเศรษฐี,,วัดอรุณราชวราราม,พระเครื่อง,เสริมการงาน,ทองคำ,2547,ปลุกเสกโดยพระเกจิ,พกติดตัว,"20,000+",สูง,,การงาน,,
พระพุทธชินราช,,วัดพระศรีรัตนมหาธาตุ,พระเครื่อง,เสริมโชคลาภ,ทองเหลือง,2536,ปลุกเสกในพิธีใหญ่,บูชาที่บ้าน,"15,000+",สูง,,การงาน,,
พระพุทธนวราช,,วัดบวรนิเวศวิหาร,พระเครื่อง,เสริมการงาน,ทองคำ,2550,ปลุกเสกโดยสมเด็จพระสังฆราช,บูชาที่บ้าน,"30,000+",สูง,สมเด็จพระสังฆราช,การงาน,,
พระกริ่งสมเด็จโต,,วัดระฆังโฆสิตาราม,พระเครื่อง,เสริมโชคลาภ,ทองคำ,2548,ปลุกเสกโดยสมเด็จโต,บูชาที่บ้าน,"25,000+",สูง,สมเด็จโต,การงาน,,
พระกริ่งมหาจักรพรรดิ,,วัดจุฬามณี,พระเครื่อง,เสริมการงาน,ทองคำ,2540,ปลุกเสกในพิธีใหญ่,บูชาที่บ้าน,"35,000+",สูง,,การงาน,,
ตะกรุดลาภผล,,วัดบวรนิเวศวิหาร,ตะกรุด,เรียกทรัพย์,เงิน,2555,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"7,000+",กลาง,,การงาน,,
พระราหูเงิน,,วัดศีรษะทอง,พระเครื่อง,เสริมโชคลาภ,ทองเหลือง,2558,ปลุกเสกพิธีใหญ่,พกติดตัว,"9,000+",กลาง,,การงาน,,
กุมารทองเทพเจ้าโชคลาภ,,วัดบ้านกร่าง,เครื่องราง,เรียกโชคลาภ,ไม้,2562,ปลุกเสกโดยเกจิ,ตั้งบูชาที่บ้าน,"15,000+",สูง,,การงาน,,
พระสมเด็จงาแกะ,,วัดบางนมโค,พระเครื่อง,เสริมการค้า,งา,2543,ปลุกเสกโดยพระเกจิ,บูชาที่บ้าน,"20,000+",สูง,,การงาน,,
เหรียญพญาเต่าเรือน,,วัดบ้านไร่,เหรียญ,เสริมโชคลาภ,ทองแดง,2563,ปลุกเสกในพิธีใหญ่,พกติดตัว,"5,000+",สูง,,การงาน,,
ตะกรุดมหาโชค,,วัดท่าซุง,ตะกรุด,เรียกทรัพย์,ทองแดง,2545,ปลุกเสกโดยหลวงพ่อ,พกติดตัว,"4,500+",กลาง,,การงาน,,
พระกริ่งหายใจ,,วัดปากคลองมะขามเฒ่า,พระเครื่อง,เสริมการงาน,ทองเหลือง,2560,ปลุกเสกพิธีใหญ่,พกติดตัว,"10,000+",สูง,,การงาน,,
พระปิดตาเรียกทรัพย์,,วัดอรุณราชวราราม,พระเครื่อง,เรียกโชคลาภ,ผงพุทธคุณ,2551,ปลุกเสกโดยพระเกจิ,พกติดตัว,"8,000+",สูง,,การงาน,,
ผ้ายันต์มหาเศรษฐี,,วัดศาลาแดง,ผ้ายันต์,เสริมการงาน,ผ้า,2556,ปลุกเสกในพิธีใหญ่,แขวนในบ้าน,"3,500+",กลาง,,การงาน,,
