สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา (ของที่ต้องเตรียม),ภาพสถานที่,หมวดหมู่
วัดนาคกลางวรวิหาร,หลวงพ่อโคนสมอมหาลาภ เป็นพระพุทธรูปปางฉันสมอ หรือปางถือผลสมอ โดยหลวงพ่อโคนสมอมหาลาภ มีชื่อเสียงเรื่องการให้พรรักษาหรือให้แคล้วคลาดจากโรคภัยไข้เจ็บ เชื่อกันว่าผู้ที่ป่วยเป็นโรคต่าง ๆ หากได้ไปกราบไหว้อาการป่วยจะหายหรือทุเลาลง ส่วนในผู้ที่ไม่ได้มีอาการเจ็บป่วย ก็มักไปขอพรให้สุขภาพร่างกายแข็งแรง ปราศจากโรคภัยไข้เจ็บ,ซ.อิสรภาพ 42 แขวงวัดอรุณ เขตบางกอกใหญ่ จ.กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,,การกราบไหว้ ขอพร พร้อมดอกไม้ ธุป เทียน ทำบุญปิดทอง,https://drive.google.com/file/d/1aPmEXawWS2CSoPjAsHm50SnTxMxaBFSy/view?usp=sharing,สุขภาพ
วัดสมานรัตนาราม,หลวงพ่อองค์ดำ วัดสมานรัตนาราม นี้ เป็นองค์จำลองมาจาก หลวงพ่อองค์ดำ ที่ นาลันทา ประเทศอินเดีย มีความเชื่อว่าหากเกิดการเจ็บป่วยก็จะนำน้ำมันมาลูบองค์พระ แล้วอธิษฐานขอให้หลวงพ่อรักษาโรคต่างๆ จนทุกวันนี้ยังมีผู้คนที่เดินทางไปสักการะ และอธิษฐานขอพรให้หายจากโรคต่างๆ และกลับมาหายจากโรคได้อย่างน่ามหัศจรรย์,ริมแม่น้ำบางปะกง หมู่ที่ 11 ตำบลบางแก้ว อำเภอเมือง จังหวัดฉะเชิงเทรา,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,,วิธีการบูชาให้เกิดผลกับหลวงพ่อองค์ดำ เมื่อเข้าไปกราบหลวงพ่อองค์ดำ ให้รวบรวมกำลังใจให้เป็นสมาธิ โดยมองที่พระพักตร์ขององค์หลวงพ่อให้เกิดความชื่นใจสักชั่ว 5-7 ลมหายใจ จากนั้นจึงบรรจงลงกราบให้งาม แล้วกล่าวคำบูชาพระรัตนตรัย พร้อมดอกไม้ ธูปเทียน นำน้ำมันมาลูบองค์พระ,https://drive.google.com/file/d/1B4OpoOnrWUTLdpQs1T-eoGUXqygqIxOG/view?usp=sharing,สุขภาพ
วัดมังกรกมลาวาส (วัดเล่งเน่ยยี่),วัดเล่งเน่ยยี่ หรืออีกชื่อ วัดมังกรกมลาวาส เป็นวัดที่มีผู้คนแวะเวียนมากราบไหว้ขอพรเรื่องสุขภาพ รวมถึงสะเดาะเคราะห์ ทำบุญแก้ชง,ถนนเจริญกรุง เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-17.00 น. ,,วิธีไหว้ : เขียนชื่อ สกุล อายุ วันเดือนปีเกิด ปีนักษัตร เวลาตกฟาก จุดธูป 3 ดอกเพื่อทำการขอพร จากนั้นให้นำชุดไหว้มาโบกปัดตามร่างกาย 12 ครั้ง ก่อนนำชุดไหว้ไปฝากไว้หน้าองค์ไท่ส่วยเอี๊ย ของไหว้ : ชุดไหว้มีบริการหน้าวัด,https://drive.google.com/file/d/1u2LX3e8kv6W_0xykzNCzTiZNyS9m3IZh/view?usp=sharing,สุขภาพ
วัดพระธาตุดอยคำ,ขอพรกับหลวงพ่อทันใจ นอกจากเรื่องโชคลาภ เสี่ยงดวงที่คนศรัทธาว่าเห็นผลทันตา ได้โชคทันใจแล้ว เรื่องโรคภัยไข้เจ็บท่านก็ช่วยบันดาลให้หายและมีอาการดีขึ้น รวมไปถึงการขอพรเรื่องหน้าที่การงาน ให้เจริญก้าวหน้าและประสบความสำเร็จเช่นกัน,ตำบลแม่เหียะ อำเภอเมือง จังหวัดเชียงใหม่,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 – 18.00 น.,,"การไหว้ขอพรหลวงพ่อพระเจ้าทันใจนั้นให้จุดธูป 3 ดอก ตั้งนะโม 3 จบแล้วว่าคาถา “โอม นะโมพุทธายะ ยะอะสะ สุมัง จะปาคะ” แล้วบอกชื่อเรา ข้าพเจ้าชื่อ………. และเล่าเรื่องที่เราจะขอให้ละเอียด
เสร็จแล้วบอกหลวงพ่อพระเจ้าทันใจ ขอให้ช่วยข้าพเจ้าให้สำเร็จโดยด่วน เมื่อข้าพเจ้าสำเร็จแล้วจะมาถวายดอกมะลิจำนวน 50 พวงขึ้นไป ถ้าเราจะให้มากกว่าก็บอกท่านไปตามจำนวนที่เราต้องการถวาย
สำหรับการแก้บนก็เหมือนกัน กล่าวเหมือนครั้งแรก แล้วบอกข้าพเจ้าได้นำดอกมะลิมาแก้บนแล้วตามที่ข้าพเจ้าสัญญาไว้ ขอองค์หลวงพ่อพระเจ้าทันใจรับไว้ด้วย สาธุ สาธุ สาธุ",https://drive.google.com/file/d/1J15ubRk7NeMausDOeyIv2VEC-El_xg-n/view?usp=sharing,สุขภาพ
วัดบางพลีใหญ่ใน,"หลวงพ่อโต วัดบางพลีใหญ่ใน เป็นพระพุทธรูปศักดิ์สิทธิ์ที่ชาวสมุทรปราการให้ความเคารพนับถือ ตำนานเล่าว่า หลวงพ่อโตลอยน้ำมาจนถึงคลองสำโรง ชาวบ้านตั้งใจจะอาราธนาขึ้นมา แต่ไม่สำเร็จ ต้องผูกเรือเสี่ยงทาย โดยอธิษฐานว่าหากท่านประสงค์จะขึ้นที่ใดก็ให้ไปหยุดที่ท่านั้น จนมาถึงวัดบางพลีใหญ่ใน 

คนส่วนใหญ่มักจะไปขอพรเรื่องสุขภาพ และแคล้วคลาดปลอดภัย เชื่อกันว่า น้ำพระพุทธมนต์ของที่นี่สามารถช่วยบรรเทาโรคภัย ปัดเป่าโรคร้ายได้ ",เลขที่ 130 หมู่ที่ 10 ถนนสุขาภิบาล 3 ตำบลบางพลีใหญ่ อำเภอบางพลี จังหวัดสมุทรปราการ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00 - 17.00 น. ,,"ของไหว้หลวงพ่อโต วัดบางพลีใหญ่ใน ไหว้อะไรบ้าง
ไข่ต้ม
ปลาตะเพียนเงิน ปลาตะเพียนทอง ที่สานด้วยใบลาน ซึ่งเชื่อกันว่าเป็นปลาคู่บารมีของหลวงพ่อโต วัดบางพลีใหญ่ใน",https://drive.google.com/file/d/1CWVOuTtMBxdybM-YsRlzm303ciz1xMCN/view?usp=sharing,สุขภาพ
วัดโสธรวรารามวรวิหาร,"""หลวงพ่อโสธร"" คือ พระพุทธรูปคู่บ้านคู่เมืองของชาวฉะเชิงเทรา เป็นที่ศรัทธาว่ามีความศักดิ์สิทธิ์ จนมีผู้คนไปขอพรให้สมหวังกันมากมาย ไม่ว่าจะเป็นเรื่อง การค้าขาย เรื่องการงาน เรื่องสุขภาพ และขอให้ประสบความสำเร็จในชีวิต เรื่องเงินทองหรือโชคลาภ คนที่สมหวังก็จะมาแก้บนด้วยไข่ต้ม หรือละครรำ",เลขที่ 134 ถนนเทพคุณากร ตำบลหน้าเมือง อำเภอเมืองฉะเชิงเทรา จังหวัดฉะเชิงเทรา,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-16.30 น.,,"วิธีการบนหลวงพ่อโสธร
จุดธูป 9 ดอก
กล่าวคาถาบูชาหลวงพ่อโสธร อธิษฐานหรือกล่าวคำบนบานในสิ่งที่ต้องการ พร้อมบอกว่าหากสมหวังตามที่ปรารถนาจะนำสิ่งใดมาถวาย เช่น ไข่ต้มจำนวนเท่าไร รำละครชาตรี การบน: มีความเชื่อว่า หลวงพ่อโสธรชอบไข่ต้ม เพราะคนที่สมหวังจากคำบนบานจะนิยมแก้บนด้วยไข่ต้ม ซึ่งเป็นของหาง่ายในยุคแรก ๆ ของวัดโสธร หลังจากนั้นเลยนิยมใช้ไข่ต้มเป็นเครื่องแก้บนมาตั้งแต่นั้นนอกจากนี้ยังมีการแก้บนด้วยพวงมาลัยและนางรำละครชาตรีหรือลิเก เป็นต้น

แก้บนหลวงพ่อโสธร
 1.ปอกไข่ต้ม 3 ฟอง เปิดน้ำเปล่า, น้ำปลา, หมาก-พลู
2.จุดธูป 3 ดอก บอกชื่อ-นามสกุลจริง ว่าบนหลวงพ่อโสธรเรื่องอะไร สำเร็จแล้วได้มาแก้บนให้ท่าน แล้วขอให้ขาดสินบนกัน
3.รอจนธูปหมด เวลาลาของให้ท่องว่า เสสัง มังคลา ยาจมมิ
4.นำของที่แก้บนกลับบ้านหรือบริจาคให้กับทางวัดได้เลย",https://drive.google.com/file/d/1mDWuHVk3HjJ19TsBdgkXQZHmmV1HtIUz/view?usp=sharing,สุขภาพ
วัดขนอนเหนือ ,วัดขนอนเหนือ เป็นวัดเก่าแก่ที่สร้างขึ้นในสมัยกรุงศรีอยุธยา ภายในวัดประดิษฐาน “พระปางพยาบาล” เป็นพระนั่งขัดสมาธิ โดยมีพระภิกษุอาพาธ (เจ็บป่วย) นอนอยู่ที่ตัก โดยมือขวาประคองศีรษะไว้ ขณะที่มือซ้ายจับที่ท้องของพระที่อาพาธ ซึ่งเป็นปางที่หาชมได้ยาก โดยชาวบ้านเชื่อกันว่าหากมากราบไหว้ จะขอพรเรื่องสุขภาพให้ไร้โรคภัยไข้เจ็บได้, บ้านกรด หมู่ 9 ต.บ้านกรด อ.บางปะอิน จ.อยุธยาฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 17.00 น.,,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1EJBUsIjcDUrvWsOu-8Bbc93bx7MR9EUo/view?usp=sharing,สุขภาพ
วัดจันทรังษี,วัดแห่งนี้มีพระพุทธรูปที่มีพุทธคุณเด่นในเรื่องของการรักษาโรคภัยไข้เจ็บถึง 2 องค์ องค์แรกคือรูปหล่อของ “หลวงพ่อสด” โดยเชื่อว่า หลวงพ่อสด สามารถประทานพรในเรื่องสุขภาพให้เป็นจริงดังที่หวังได้ และองค์ที่สองคือ “หลวงพ่อโยก” พระพุทธรูปปางสมาธิ อายุราว 300 ปี ประดิษฐานอยู่ภายในโบสถ์ หากได้กราบไหว้ท่านแล้ว จะไร้ทุกข์ไร้โศก โรคภัยไข้เจ็บที่เป็นอยู่ก็จะเบาบางลง,เลขที่ 7 หมู่ 9 ต.หัวไผ่ อ.เมืองฯ จ.อ่างทอง,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00 – 18.00 น.,,การขอพร กราบไหว้ พร้อมดอกไม้และธูปเทียน,https://drive.google.com/file/d/1hpYeZHtTzWlx9xapF_DRGexe3TrBQTsq/view?usp=sharing,สุขภาพ
โรงพยาบาลสงฆ์,พ่อปู่ชีวกโกมารภัจจ์ หรือ หมอชีวกโกมารภัจจ์ มีความเชี่ยวชาญในการรักษาโรคภัยไข้เจ็บให้หายเป็นปกติ ในสมัยพุทธกาลท่านเป็นหมอประจำพระองค์ของพระพุทธเจ้า,ณ อาศรมแพทย์ใหญ่บรมครูหมอชีวกโกมารภัจจ์ โรงพยาบาลสงฆ์ เขตราชเทวี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,,วิธีไหว้ : เตรียมธูป 9 ดอก ท่องนะโมฯ 3 จบ ตามด้วย “โอม นะโม ชีวะโก สิระสา อะหัง กะรุณิโก สัพพะสัตตานัง โอสะถะ ทิพพะมันตัง ปะภาโส สุริยาจันทัง โกมาระภัจโจ ปะกาเสสิ วันทามิ ปัณฑิโต สุเมธะโส อะโรคา สุมะนา โหมิ”,https://drive.google.com/file/d/1r4wVSwaK2NOw-CmFXUGsh6d3UkGHxPvo/view?usp=sharing,สุขภาพ
ศาลเจ้าแม่กวนอิม,เจ้าแม่กวนอิมเป็นที่รู้จักเป็นอย่างดีสำหรับคนไทยมีชื่อเสียงเรื่องการขออะไรก็สมหวังเนื่องจากพระองค์เป็นพระโพธิสัตว์ที่มีจิตใจเมตตา,มูลนิธิเทียนฟ้า ถ.เยาวราช กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,,"วิธีไหว้ : บูชาพร้อม ธูป 9 ดอก น้ำสะอาดใส่ภาชนะใหม่ ดอกมะลิหรือดอกบัวสีขาวหรือชมพู ท่องนะโมฯ 3 จบ ตามด้วย “นำโมไต๋ชื้อ ไต๋ปุย กิวโคว่ กิวหลั่ง กวงไต๋เล่งก้ำ กวงสี่อิมผู่สัก (ท่อง 3 จบ กราบ 3 ครั้ง)
นำโมฮุก นำโมหวบ นำโมเจ็ง นำโมกิวโคว่ กิวหลั่ง กวงสี่อิมผู่สัก ทั่งจี้โต
โอม เกียล้อฮวดโต เกียล้อฮวดโต เกียออฮวดโต ล้อเกียฮวดโต ล้อเกียฮวดโต
ซาผ่อออ เทียงล้อซิ้ง ตี่ล้อซิ้ง นั้งลี่หลั่ง หลั่งลี่ซิ้ง เจ็กเฉียก ใจเอียงห่วยอุ่ยติ้ง
นำโมม่อออปวกเยี่ยปอล้อบิ๊ก”",https://drive.google.com/file/d/1VYM4c5rLOu3FTDs9iNuJaufz7OCxnDPR/view?usp=sharing,สุขภาพ
ศาลเจ้าโจวซือกง,ศาลเจ้าโจวซือกง (วัดซุนเฮงยี่) เป็นศาลเจ้าเก่าแก่สร้างขึ้นประมาณ พ.ศ. 2347 โจวซือกงคือหมอยาองค์สำคัญที่ชาวจีนฮกเกี้ยนเคารพ ปัจจุบันผู้ที่เจ็บไข้ได้ป่วยต้องการหายจากโรคนิยมมาขอพรที่ศาลเจ้าแห่งนี้,ย่านตลาดน้อย ซ.วานิช 2 ถ.เจริญกรุง เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-16.00 น.,,วิธีไหว้ : เตรียมธูป เทียน และชุดของไหว้ (มีให้บริการที่ศาลเจ้า) กราบไหว้ขอพรทีละจุด เนื่องจากศาลเจ้าประดิษฐานเทพเจ้าหลายพระองค์,https://drive.google.com/file/d/127S4XC03zos8YmumZ6l7DAzr-xr6b0yh/view?usp=sharing,สุขภาพ
ท้าวหิรัญพนาสูร,ท้าวหิรัญพนาสูร ขึ้นชื่อว่าบูชาแล้วจะแคล้วคลาดปลอดภัยจากอันตรายและโรคภัยไข้เจ็บต่าง ๆ เป็นอีกที่ที่สายมูมักจะไหว้พระขอพรเรื่องสุขภาพ,บริเวณด้านหลังโรงพยาบาลพระมงกุฎเกล้า เขตราชเทวี กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,,วิธีไหว้ : เตรียม ธูป 16 ดอก บายศรี มะพร้าวอ่อน 2 ลูก กล้วยน้ำว้า 1 หวี สับปะรด และพวงมาลัยดาวเรือง 9 พวง ท่องนะโมฯ 3 จบ ตามด้วย “ระหินะ ภูมาสี ภะสะติ นิรันตะรัง ลาภะสุขัง ภะวันตุเม” ( 9 จบ),https://drive.google.com/file/d/1WY3OrVThKA8ww2beUfmW9qc2iVd2vNwx/view?usp=sharing,สุขภาพ
ศาลเจ้าเล่าปูนเถ้ากง,ปูนเถ้ากง หรือ ตี่เถ่าเล่าเอี๊ย เป็นเทพที่คอยคุ้มครองให้อยู่เย็นเป็นสุขที่คนจีนแต้จิ๋วให้ความเคารพใช้เป็นเครื่องยึดเหนี่ยวจิตใจ เน้นขอพรเรื่องสุขภาพ,หน้าโรงเรียนเผยอิง เขตสัมพันธวงศ์ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00 – 17.00 น.,,"วิธีไหว้ : เริ่มจากไหว้ที่จุดแรก “ทีกง” จากนั้นเข้าไปไหว้เทพเจ้า ในห้องโถงโดยไหว้ให้ครบทั้ง 3 แท่นบูชา
ของไหว้ : ธูป เทียน และชุดไหว้ มีให้บริการที่หน้าศาลเจ้า",https://drive.google.com/file/d/1oGQfA4IdCoztHkzi90Y7FOA_zzxuv6UN/view?usp=sharing,สุขภาพ
วัดหัวลำโพง,หลวงพ่อทันใจ คนนิยมมาขอคือ เรื่องสุขภาพ ให้หายจากโรคภัยไข้เจ็บที่เป็นอยู่ หรือขอในเรื่องเงิน ทอง โชคลาภ,เลขที่ 728 ถนนพระรามที่ 4 แขวงสี่พระยา เขตบางรัก กรุงเทพมหานคร 1,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,,"เตรียมเครื่องบูชา
ดอกไม้: ดอกมะลิเป็นดอกไม้ที่นิยมนำมาบูชาหลวงพ่อทันใจ โดยมักใช้ดอกมะลิเป็นจำนวน 50 พวงหรือมากกว่านั้น (บางคนอาจจะใช้ 100 พวงหากต้องการขอพรเรื่องสำคัญ)
ธูปและเทียน: ธูป 9 ดอก และเทียน 1 คู่
ผลไม้: เช่น กล้วย ส้ม หรือน้ำดื่มสะอาด
พวงมาลัยหรือเครื่องบูชาอื่นๆ: ในบางกรณีอาจมีการเตรียมพวงมาลัยหรือเครื่องบูชาประเภทอื่นตามความเหมาะสม",https://drive.google.com/file/d/1X80SnS2FtR_8b3Iwww_qhv9Xd2sjggMi/view?usp=sharing,สุขภาพ
ศาลท้าวมหาพรหมเอราวัณ ,"การบูชาพระพรหม มีความเชื่อกันว่าพระพรหมเป็นองค์เทพที่สามารถลิขิตชะตาชีวิตของมนุษย์ได้ หากประพฤติตนดี และอธิษฐานขอพรในเรื่องใด ก็จะสมหวังดั่งที่ปรารถนา เป็นผลให้มีทั้งชาวไทยและชาวต่างประเทศมาสักการะกันเป็นจำนวนมากค่ะ
ขอพร : สุขภาพ และโชคลาภ", ถนนเพลินจิต กรุงเทพมหานคร 300 ม. จาก BTS ชิดลม และ 600 ม. จาก BTS ราชดำริ อ่านต่อได้ที่ https://www.wongnai.com/trips/temple-for-praying-and-mutelu?ref=ct,"จ,อ,พ,พฤ,ศ,ส,อา ",06:00 – 22:00 น.,,"การไหว้ : ท่องคาถา “โอม อหัม ปรัหมา อัสมิ”
ของไหว้ : ธูป เทียน ดอกบัว และน้ำ โดยการขอแต่ละเรื่องจะใช้จำนวนแตกต่างกัน ",https://drive.google.com/file/d/1BwF26JvUZamEAxD9oWp1-lDNsBPE9gEQ/view?usp=sharing,สุขภาพ
ศาลเจ้าพ่อเสือ ,ชาวจีนเรียกศาลเจ้านี้ว่า “ตั่วเหล่าเอี้ย” เป็นสถานที่ที่คนไทยให้ความเคารพและนับถืออย่างมาก ผู้คนนิยมมาเสี่ยงเซียมซี ทำบุญและไหว้พระขอพรท่านเพื่อความเป็นสิริมงคล ขอพร : สุขภาพ ทรัพย์สินเงินทอง , 468 ถนนตะนาว เขตพระนคร กรุงเทพฯ (ใกล้เสาชิงช้า),"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-17.00 น.,,"การไหว้ : สวดถวาย 9 จบ
“เที่ยง เทียง เสี่ยง ตี่ กง

เที่ยง เทียง เสี่ยง ตี่ กง

เที่ยง เทียง เสี่ยง ตี่ กง ฮุกโจ้ว”

ของไหว้ : นำส้มไปวางบนกระดาษเงินกระดาษทองที่ตั้งไว้ที่หน้าเจ้าพ่อใหญ่ตรงกลางศาล และจุดเทียนแดง 2 เล่ม ก่อนนำไปปักที่กระถางปักเทียน จากนั้นให้จุดธูป 30 ดอก หรือ 1 ห่อ ",https://drive.google.com/file/d/1MgNgLS4OqeYepNX43xYGBWJrD9v1fuHK/view?usp=sharing,สุขภาพ
ศาลกรมหลวงชุมพรเขตอุดมศักดิ์ ,เจ้าบรมวงศ์เธอ กรมหลวงชุมพร เขตอุดมศักดิ์ หรือ “เสด็จเตี่ย” เป็นผู้ปฏิบัติราชการในราชนาวีไทยเพื่อรักษาเสถียรภาพแห่งกองทัพเรือไว้ ขอพร :เรื่องสุขภาพ,ต.หาดทรายรี อ.เมือง จ.ชุมพร,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-20.00 น.,,"การไหว้ : ท่องคาถา “ชุมพรจุตติ อิทธิกรณัง สุโข นะโมพุทธายะ นะมะพะทะ จะพะกะสะ” ตั้งนะโม 3 จบ ตามด้วย ข้าพเจ้า (ชื่อ....นามสกุล..... ขอพร)
ของไหว้ : กุหลาบแดง น้ำตาลเมา และขนมจีนน้ำพริก จุดธูป 9 หรือ 19 ดอก ",https://drive.google.com/file/d/1WQF7-gRw5_11kUph6AplMdG3qd-dZEW8/view?usp=sharing,สุขภาพ
วัดเขาตะเกียบ,วัดเขาตะเกียบโดดเด่นด้วยพระบรมสารีริกธาตุ และ มีองค์พระเเม่กวนอิมพันมือ ศาลเจ้าพ่อกวนอู และพระสังกัจจายน์ ที่นี่มีบันไดให้เดินขึ้นไปสักการะถึง 128 ขั้น กันเลยทีเดียว คนส่วนใหญ่มักจะมาไหว้ และ อธิษฐานขอพรกันที่นี่ เพื่อเป็นสิริมงคล แก่ตนเอง และ ครอบครัว ช่วยเรื่องของความร่ำรวย และ เสริมความเป็นสิริมงคล ช่วยปัดเป่าความทุกข์ โรคภัยไข้เจ็บ,ตำบลหนองแก อำเภอหัวหิน จังหวัดประจวบคีรีขันธ์ ,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-18.00 น.,,การกราบไหว้พระเจ้ากวนอูจะใช้ธูปทั้งหมด 11 ดอก กับเทียน 1 คู่ ซึ่งทางศาลเจ้ามีจัดเตรียมไว้ให้ โดยเราจะต้องกราบไหว้ตามจุุดต่างๆ ตามลำดับดังนี้ จุดที่ 1 : กราบไหว้ เทวดาฟ้าดิน ให้ปักธูป 5 ดอก จุดที่ 2 : กราบไหว้ เทพเจ้ากวนอู ให้ปักธูป 3 ดอก จุดที่ 3 : กราบไหว้ พระโพธิสัตว์กวนอิท ให้ปักธูป 3 ดอก,https://drive.google.com/file/d/1gbMATQ58c7i5wSa4F8a7gzWZKXtAWQVe/view?usp=sharing,สุขภาพ
วัดพุทธไชโย,เรื่องของความเป็นสิริมงคลในชีวิตให้พบเจอแต่สิ่ง ที่ดีๆ สุขภาพดี,ต.หนองแก อ.หัวหิน จ. ประจวบคีรีขันธ์,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00,,วิธีบูชาพระประธานในอุโบสถ ที่วัดพุทธไชโย หัวหิน สามารถกราบไหว้พระประธานในอุโบสถซึ่งเป็นจุดศักดิ์สิทธิ์ในการขอพร,https://drive.google.com/file/d/1DToiEh3jhQLBvYhAin7BnWs3RoecViVO/view?usp=sharing,สุขภาพ
วัดพระเชตุพนวิมลมังคลารามราชวรมหาวิหาร (วัดโพธิ์) ,พระพุทธเทวปฏิมากร  เป็นพระประธานภายในพระอุโบสถจึงมีชื่อเสียงมากในเรื่องของความศักดิ์สิทธิ์ เชื่อว่าใครที่ได้กราบไหว้ขอพรก็จะเป็นจริงสมความปรารถนา จึงเหมาะสำหรับไปขอพรเรื่องสุขภาพ เพื่อให้อาการเจ็บป่วยที่เป็นอยู่หายหรือทุเลาลง,เลขที่ 2 ถนนสนามไชย เขตพระนคร กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-18.00 น.,,จุดธูปเทียน พร้อมถวายดอกไม้ และกล่าวคาถาบูชา  พระพุทธเทวปฏิมากร,https://drive.google.com/file/d/11hrcTHsGfxByc2AjWkd59V29IHOsIpgM/view?usp=sharing,สุขภาพ
วัดเทวราชกุญชร,ป็นจุดสำคัญของวัด “วัดเทวราชกุญชรฯ” โดยคำว่า “เทวราช” แปลว่า “พระอินทร์” มานำหน้าพระนามของพระองค์เจ้ากุญชร ซึ่งแปลว่า “ช้าง” รวมความแล้วแปลว่า “ช้างพระอินทร์” จุดนี้จะเป็นจุดที่สวยงามมากค่ะ แถมท่านมีความศักดิ์สิทธิเรื่องการประธารพรเกี่ยวกับสุขภาพ,90 ถ.ศรีอยุธยา แขวงวชิรพยาบาล เขตดุสิต กรุงเทพมหานคร,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-24.00,,วิธีการไหว้ : แนะนำว่าสวดคาถา ก่อนที่จะขึ้นด้านบนแท่นขอพรนะคะ เวลาขึ้นไปด้านบนจะได้ตั้งใจขอพรได้อย่างเต็มที่ค่ะ เมื่อขึ้นแท่นขอพรด้านบน นำธนบัตรทั่งสองใบใส่ในมือท่าน นำพวงมาลัยแขวนที่มือท่าน จากนั้นก็ นำมือทั้งสองข้างจับไปที่มือท่านและนำหน้าผากจรดมือท่าน ขอพรที่ตั้งใจเพียงข้อเดียว เมื่อขอพรเสร็จก็ก้มลง นำมือทั้งสองข้างลูบเท้าเท่ากวักสิ่งดีๆเข้าหาตัว 2 ครั้ง,https://drive.google.com/file/d/1XYhwYIOv2dEn7yPKI15eaWMeTmrzS0Ec/view?usp=sharing,สุขภาพ
เทวาลัยเคณอินทร์ศวร, ขอพรพลิกชีวิต!แลนด์มาร์คของสายมู ตอนนี้! ต้องยกให้ เทวาลัยเคณอินทร์ศวร เข้าฟรี เทวาลัยที่นี่มีทั้งหมดสามชั้นด้วยกัน และที่นี่มีของบูชาให้เราได้เลือหลากหลายแล้วแต่เราสะดวก แถมยังมีดอกไม้ให้เรานำไปบูชาฟรีอีกด้วย ภายในจะมีองค์เทพให้เราสะการะบูชาหลายองค์เราสามารถขอพรได้กับทุกองค์เพื่อเป็นสิริมงคลแก่ตัวเราเอง,ถนนวัชรพล กรุงเทพมหานคร ,"อ,พ,พฤ,ศ,ส,อา ", 11.00  - 20.00 น.,,"การเตรียมเครื่องบูชา
ดอกไม้: นิยมใช้ดอกไม้ที่มีกลิ่นหอม เช่น ดอกบัว ดอกมะลิ หรือดอกกุหลาบสีขาว
เครื่องหอม: การจุดกำยานหรือธูปหอมเป็นสิ่งที่ใช้ในการสักการะพระศิวะ
ผลไม้และของหวาน: นิยมถวายผลไม้ เช่น มะพร้าว กล้วย หรือผลไม้ตามฤดูกาล
น้ำเปล่า: นำมาถวายเป็นเครื่องบูชาที่บริสุทธิ์
2. ขั้นตอนการบูชา
ตั้งจิตให้สงบ: ก่อนเริ่มบูชา ควรนั่งสงบใจและตั้งสมาธิให้จิตใจแน่วแน่ มีความตั้งใจจริงในการสักการะ",https://drive.google.com/file/d/1U8pnzYGkpHbjJJKuee23rwtojwmBlg3y/view?usp=sharing,สุขภาพ
วัดพระปฐมเจดีย์ราชวรมหาวิหาร,"พระร่วงโรจนฤทธิ์ฯ สิ่งศักดิ์สิทธิ์คู่เมืองนครปฐม ที่พุทธศาสนิกชนมักจะไปกราบไหว้บูชาเพื่อความเป็นสิริมงคล โดยเป็นที่ร่ำลือเรื่องการขอพรด้านสุขภาพ อาการเจ็บไข้ได้ป่วย ถูกโกง ถูกรังแก ถูกเอารัดเอาเปรียบ
",ตำบลพระปฐมเจดีย์ อำเภอเมืองนครปฐม จังหวัดนครปฐม,"จ,อ,พ,พฤ,ศ,ส,อา ",7.00 - 18.00น. ,,"เครื่องสักการะ: ธูปหอม 5 ดอก ดอกบัวขาว 3 ดอก เทียนขาว 2 เล่ม เงิน 15 บาท             บทสวดบูชา
ตั้งนะโม 3 จบ จากนั้น สวดตามว่า “อะติโรจะติปัญญายะสัมมาสัมพุทธะสาวะโก” (15 จบ)",,สุขภาพ
